شناسه ورودی,شناسه افزوده‌شده,نتیجه,عنوان ورودی,عنوان شاهد,ناشر ورودی,لینک ورودی,لینک معتبر/بهترین شاهد,نوع شاهد,امتیاز تطبیق,وضعیت DOI,نتیجه بررسی لینک‌ها,وضعیت جست‌وجوی مستقل,علت تصمیم
S543,,رد,طرح بن-بروجن و مناقشه حقابه‌های اصفهان؛ ریشه‌ها، قوانین و پیامدهای اجرایی,جنجال‌های طرح انتقال آب بن-بروجن؛ اصفهان دیگر جان ندارد,خبرآنلاین,https://www.khabaronline.ir/news/1578491/,https://iranwire.com/fa/features/123507-%D8%AC%D9%86%D8%AC%D8%A7%D9%84%D9%87%D8%A7%DB%8C-%D8%B7%D8%B1%D8%AD-%D8%A7%D9%86%D8%AA%D9%82%D8%A7%D9%84-%D8%A2%D8%A8-%D8%A8%D9%86-%D8%A8%D8%B1%D9%88%D8%AC%D9%86-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D8%AF%DB%8C%DA%AF%D8%B1-%D8%AC%D8%A7%D9%86-%D9%86%D8%AF%D8%A7%D8%B1%D8%AF/,search_index,0.432,,"live_html, http_error",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S544,,رد,تجمع کشاورزان اصفهان در اعتراض به اجرای طرح انتقال آب بن-بروجن و بارگذاری‌های غیرمجاز,,خبرگزاری مهر,https://www.mehrnews.com/news/5361284/,,,,,"http_error, live_html",اجرا نشد (شاهد مستقیم کافی بود),صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S545,,رد,سد خرسان ۳؛ چالش‌های زیست‌محیطی، جابجایی روستاها و پیامدهای انتقال آب به فلات مرکزی,توجه ویژه مدیریت شهری به امر ورزش - خبرگزاری مهر | اخبار ایران و جهان | Mehr News Agency,خبرگزاری مهر,https://www.mehrnews.com/news/6182104/,https://www.mehrnews.com/news/6182104/%D8%AA%D9%88%D8%AC%D9%87-%D9%88%DB%8C%DA%98%D9%87-%D9%85%D8%AF%DB%8C%D8%B1%DB%8C%D8%AA-%D8%B4%D9%87%D8%B1%DB%8C-%D8%A8%D9%87-%D8%A7%D9%85%D8%B1-%D9%88%D8%B1%D8%B2%D8%B4,live_page,0.184,,"live_html, live_html",اجرا نشد (شاهد مستقیم کافی بود),صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S546,,رد,پیامدهای زیست‌محیطی طرح‌های انتقال آب کارون و دز به فلات مرکزی بر خوزستان,مقاله بررسی طرح پیشنهادی احداث خط لوله انتقال آب از محل تلاقی کارون با ...,خبرگزاری تسنیم,https://www.tasnimnews.com/fa/news/1400/09/06/2615432/,https://civilica.com/doc/403369/,search_index,0.6336,,"network_error, http_error",ok,لینک‌های ارائه‌شده در دسترس نبودند و منبع هم‌عنوان مستقلی پیدا نشد.
S547,,رد,بهره‌برداری از طرح آبرسانی بن-بروجن و مناقشات بین‌استانی در مدیریت منابع آب حوضه زاینده‌رود,بهره‌برداری از بن_ بروجن؛ در آینده‌ای نزدیک - ایسنا,خبرگزاری ایسنا,https://www.isna.ir/news/1402090100412/,https://www.isna.ir/news/1402060100427/%D8%A8%D9%87%D8%B1%D9%87-%D8%A8%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C-%D8%A7%D8%B2-%D8%A8%D9%86-%D8%A8%D8%B1%D9%88%D8%AC%D9%86-%D8%AF%D8%B1-%D8%A2%DB%8C%D9%86%D8%AF%D9%87-%D8%A7%DB%8C-%D9%86%D8%B2%D8%AF%DB%8C%DA%A9,search_index,0.5328,,"challenge, challenge",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S551,,رد,ارزیابی اقتصادی-اجتماعی طرح‌های انتقال آب بین‌حوضه‌ای از حوضه کارون بزرگ به حوضه زاینده‌رود,سنتزپژوهی اثرات بوم‌شناختی، اقتصادی و اجتماعی طرح‌های انتقال آب,سیویلیکا (CIVILICA),https://civilica.com/doc/1758921/,https://jwsd.um.ac.ir/article_46127.html,search_index,0.5098,,"live_html, http_error",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S552,,رد,شبیه‌سازی اثرات حفر تونل انتقال آب بهشت‌آباد بر افت آبخوان‌های کارستی و چشمه‌های دشت بیرگان,,نشریه تحقیقات منابع آب ایران (انجمن علوم و مهندسی منابع آب),https://www.ireswr.ir/article_142385.html,,,,not_registered,"http_error, network_error, http_error, network_error",no_results,DOI ارائه‌شده در Crossref ثبت نشده و منبع هم‌عنوان مستقلی پیدا نشد.
S553,,رد,ارزیابی ریسک زیست‌محیطی طرح انتقال آب بهشت‌آباد با استفاده از روش تحلیل سلسله‌مراتبی فازی (FAHP),تحلیل ریسک طرح‌های انتقال آب بین‌حوضه‌ای با روش تحلیل درخت ...,فصلنامه علوم و مهندسی محیط زیست,https://civilica.com/doc/1359482/,https://journals.ut.ac.ir/article_82884.html,search_index,0.5395,,"live_html, http_error",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S554,,رد,بررسی ابعاد فنی، زیست‌محیطی و حقوقی سناریوهای تونل و لوله در طرح انتقال آب بهشت‌آباد,مقاله بررسی مخاطرات زمین شناسی احداث سد و تونل انتقال آب بهشت آباد در ...,مرکز پژوهش‌های مجلس شورای اسلامی,https://rc.majlis.ir/fa/report/show/1628491,https://civilica.com/doc/267870,search_index,0.5137,,"challenge, http_error, challenge",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S555,,رد,تحلیل حقوقی تعهدات دولت در جبران خسارت مبدأ در طرح‌های انتقال آب بین‌حوضه‌ای؛ مطالعه موردی بهشت‌آباد,اصل جبران خسارت در مورد اعمال دولت,فصلنامه مطالعات حقوق عمومی دانشگاه تهران,https://jplsq.ut.ac.ir/article_91248.html,https://www.noormags.ir/view/ar/articlepage/1995922/%D8%A7%D8%B5%D9%84-%D8%AC%D8%A8%D8%B1%D8%A7%D9%86-%D8%AE%D8%B3%D8%A7%D8%B1%D8%AA-%D8%AF%D8%B1-%D9%85%D9%88%D8%B1%D8%AF-%D8%A7%D8%B9%D9%85%D8%A7%D9%84-%D8%AF%D9%88%D9%84%D8%AA,search_index,0.4625,not_registered,"http_error, soft_404, challenge, empty",ok,DOI ارائه‌شده در Crossref ثبت نشده و منبع هم‌عنوان مستقلی پیدا نشد.
S556,,رد,مدل‌سازی اندرکنش آب‌های سطحی و زیرزمینی در زون کارستی زاگرس مرکزی تحت تأثیر حفاری تونل بلند بهشت‌آباد,,نشریه زمین‌شناسی مهندسی دانشگاه خوارزمی,https://jeeng.khu.ac.ir/article_88491.html,,,,not_registered,"http_error, network_error, challenge, network_error",search_error,DOI ارائه‌شده در Crossref ثبت نشده و منبع هم‌عنوان مستقلی پیدا نشد.
S557,,رد,تحلیل اقتصادی و اجتماعی پیامدهای طرح انتقال آب بهشت‌آباد بر معیشت کشاورزان چهارمحال و بختیاری,پیامدهای اجتماعی و امنیتی انتقال آب بین حوضه ای (موردمطالعه ...,پایگاه مرکز اطلاعات علمی جهاد دانشگاهی (SID) / فصلنامه اقتصاد فضا و توسعه روستایی,https://www.sid.ir/paper/958312/fa,https://www.sid.ir/paper/524793/fa,search_index,0.513,,"challenge, challenge",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S558,,رد,روایت آماری از وضعیت ذخیره آب سد زاینده‌رود و ضرورت تسریع در اجرای خط لوله بهشت‌آباد,,خبرگزاری جمهوری اسلامی (ایرنا),https://www.irna.ir/news/85199201/,,,,,"challenge, challenge",search_error,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S559,,رد,دستور مراجع قضایی و سازمان بازرسی درباره رعایت الزامات زیست‌محیطی پروژه بهشت‌آباد,رعایت نکاتی در خصوص همفکری و همکاری سازمان بازرسی کل کشور و مراجع قضایی ...,خبرگزاری تسنیم,https://www.tasnimnews.com/fa/news/1400/02/29/2506184/,https://davoudabadi.ir/page/96514937,search_index,0.4135,,"network_error, network_error",ok,لینک‌های ارائه‌شده در دسترس نبودند و منبع هم‌عنوان مستقلی پیدا نشد.
S560,,رد,کاربرد مدل پویایی‌شناسی سیستم‌ها (Vensim) در ارزیابی اثرات انتقال آب بهشت‌آباد بر پایداری حوضه کارون بزرگ,مقاله Self-criticism in Quranic models and its impact on building them,سیویلیکا (CIVILICA) / نهمین کنگره ملی مهندسی عمران,https://civilica.com/doc/1548902/,https://civilica.com/doc/1548902/,live_page,0.34,,"live_html, http_error",no_results,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S561,,رد,ارزیابی هیدرولوژیکی انتقال آب بین‌حوضه‌ای بهشت‌آباد با مدل WEAP تحت سناریوهای تغییر اقلیم,ارزیابی انتقال بین حوضه ای آب وانتقال بین حوضه ای جمعیت در طرح بهشت آباد,دانشگاه صنعتی اصفهان / دانشکده مهندسی عمران,https://ganj.irandoc.ac.ir/dashboard?q=behesht+abad+weap&id=984210,https://en.civilica.com/doc/661693/,search_index,0.4472,,"network_error, network_error",ok,لینک‌های ارائه‌شده در دسترس نبودند و منبع هم‌عنوان مستقلی پیدا نشد.
S562,,رد,چرا گزینه خط لوله در بهشت‌آباد جایگزین حفر تونل عمیق شد؟ بررسی تفاوت‌های هیدروژئولوژیک,,خبرگزاری مهر,https://www.mehrnews.com/news/5558912/,,,,,"http_error, live_html",اجرا نشد (شاهد مستقیم کافی بود),صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S563,,رد,گره کور بهشت‌آباد؛ منازعه بی‌پایان اصفهان و چهارمحال بر سر سرچشمه‌های کارون,روی هم نسازیدمان,روزنامه شرق,https://www.sharghdaily.com/fa/tiny/news-882109,https://www.sharghdaily.com/%D8%A8%D8%AE%D8%B4-%D9%88%DB%8C%DA%98%D9%87-%D9%86%D8%A7%D9%85%D9%87-110/882109-%D8%B1%D9%88%DB%8C-%D9%87%D9%85-%D9%86%D8%B3%D8%A7%D8%B2%DB%8C%D8%AF%D9%85%D8%A7%D9%86,live_page,0.2,,"live_html, http_error",no_results,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S564,,رد,ارزیابی پایداری اقتصادی و زیست‌محیطی تأمین آب شرب اصفهان بزرگ از طریق خط انتقال بهشت‌آباد,ارزیابی زیست محیطی طرحهای اجرایی - بزرگترین مرجع مهندسی آب ایران,مجله مهندسی عمران مدرس,https://mcej.modares.ac.ir/article_22891.html,https://watereng.ir/%D8%A7%D8%B1%D8%B2%DB%8C%D8%A7%D8%A8%DB%8C-%D8%B2%DB%8C%D8%B3%D8%AA-%D9%85%D8%AD%DB%8C%D8%B7%DB%8C-%D8%B7%D8%B1-%D8%AD%D9%87%D8%A7%DB%8C-%D8%A7%D8%AC%D8%B1%D8%A7%DB%8C%DB%8C/,search_index,0.5033,not_registered,"http_error, soft_404, http_error, empty",ok,DOI ارائه‌شده در Crossref ثبت نشده و منبع هم‌عنوان مستقلی پیدا نشد.
S565,,رد,پیامدهای اجتماعی-بوم‌شناختی انتقال آب بین‌حوضه‌ای: مطالعه موردی پروژه بهشت‌آباد در مرکز ایران,پیامدهای اجتماعی و امنیتی انتقال آب بین حوضه ای (موردمطالعه: بهشت آباد ...,"Springer / Environment, Development and Sustainability",https://link.springer.com/article/10.1007/s10668-021-01684-2,https://www.sid.ir/paper/524793/fa,search_index,0.7625,not_registered,"http_error, live_html, http_error, live_html",ok,DOI ارائه‌شده در Crossref ثبت نشده و منبع هم‌عنوان مستقلی پیدا نشد.
S566,,رد,آسیب‌شناسی تصمیم‌گیری چندمعیاره در پروژه‌های انتقال آب بین‌حوضه‌ای زاگرس مرکزی,ارزیابی روشهای مختلف تصمیم گیری گروهی چندمعیاره در انتخاب طرحهای انتقال ...,اندیشکده آب و محیط زیست دانشگاه صنعتی شریف,https://sharifwaterthinktank.ir/reports/beheshtabad-pathology-1401,https://www.iwrr.ir/article_16062.html,search_index,0.5638,,"network_error, challenge, network_error",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S567,,رد,بررسی تغییرات فشار هیدرواستاتیک و زون‌های خردشده گسلی در امتداد محور تونل بهشت‌آباد,مقاله شناسایی جمعیتهای برتر فستوکای پابلند (Festuca arundinacea) در شرایط دیم و آبیاری با استفاده از تجزیه گرافیکی GGE بایپلات,نشریه علمی پژوهش‌های ژئوتکنیک,https://civilica.com/doc/1189402/,https://civilica.com/doc/1189402/,live_page,0.2319,,"live_html, http_error",no_results,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S568,,رد,جزئیات فنی طرح آبرسانی بن-بروجن؛ ظرفیت تأمین شرب نیمی از جمعیت چهارمحال و بختیاری از مخزن زاینده‌رود,,خبرگزاری دانشجویان ایران (ایسنا),https://www.isna.ir/news/1402082921840/,,,,,"challenge, challenge",no_results,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S569,,رد,بیانیه رسمی صنف کشاورزان استان اصفهان در رد بارگذاری جدید بر مخزن سد زاینده‌رود بدون تأمین منابع جایگزین,پایان تجمع کشاورزان اصفهانی ‌در بستر ‌زاینده‌رود / با استانداری برای ...,خبرگزاری ایلنا / صنف کشاورزان اصفهان,https://www.ilna.ir/fa/tiny/news-1421098,https://www.etemadonline.com/%D8%A8%D8%AE%D8%B4-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%DB%8C-23/524042-%D9%BE%D8%A7%DB%8C%D8%A7%D9%86-%D8%AA%D8%AC%D9%85%D8%B9-%DA%A9%D8%B4%D8%A7%D9%88%D8%B1%D8%B2%D8%A7%D9%86-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86%DB%8C,search_index,0.54,,live_html,ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S570,,رد,افتتاح رسمی تصفیه‌خانه و فاز نخست خط لوله بن-بروجن و ابعاد مناقشه حقوقی حقابه طوماری زاینده‌رود,بازار آتی - ۱۴۰۲/۰۸/۳۰,روزنامه دنیای اقتصاد,https://donya-e-eqtesad.com/fa/tiny/news-4021980,https://donya-e-eqtesad.com/%D8%A8%D8%AE%D8%B4-%D8%A8%D9%88%D8%B1%D8%B3-%DA%A9%D8%A7%D9%84%D8%A7-13/4021980-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D8%A2%D8%AA%DB%8C,live_page,0.1043,,"live_html, http_error",no_results,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S571,,رد,تعارضات محلی و ژئوپلیتیک آب در فلات مرکزی ایران؛ مطالعه تطبیقی طرح‌های بن-بروجن و کوهرنگ,,فصلنامه ژئوپلیتیک (انجمن ژئوپلیتیک ایران),https://journal.iag.ir/article_148902.html,,,,not_registered,"http_error, soft_404, http_error, empty",no_results,DOI ارائه‌شده در Crossref ثبت نشده و منبع هم‌عنوان مستقلی پیدا نشد.
S572,,رد,چالش‌های حقوقی و سازوکارهای حل اختلاف در برداشت آب شرب بالادست حوضه زاینده‌رود,تأملی بر چالش‌های حقوقی مالکیت آب در حوضـۀ زاینده‌رود از منظر حقوق ...,مرکز پژوهش‌های مجلس شورای اسلامی,https://rc.majlis.ir/fa/report/show/1678120,https://www.noormags.ir/view/ar/articlepage/1400661/%D8%AA%D8%A7%D9%85%D9%84%DB%8C-%D8%A8%D8%B1-%DA%86%D8%A7%D9%84%D8%B4-%D9%87%D8%A7%DB%8C-%D8%AD%D9%82%D9%88%D9%82%DB%8C-%D9%85%D8%A7%D9%84%DA%A9%DB%8C%D8%AA-%D8%A7%D8%A8-%D8%AF%D8%B1-%D8%AD%D9%88%D8%B6%D9%87-%D8%B2%D8%A7%DB%8C%D9%86%D8%AF%D9%87-%D8%B1%D9%88%D8%AF-%D8%A7%D8%B2-%D9%85%D9%86%D8%B8%D8%B1-%D8%AD%D9%82%D9%88%D9%82-%D8%B9%D9%85%D9%88%D9%85%DB%8C,search_index,0.5594,,"challenge, http_error, challenge",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S573,,رد,تحلیل اثرات هیدرولوژیکی برداشت آب طرح بن-بروجن بر بیلان سالانه سد زاینده‌رود در شرایط خشکسالی,مقاله معنای بایدهای اخلاقی از منظر حکیم متاله آیه الله جوادی آملی,سیویلیکا (CIVILICA) / چهارمین کنفرانس بین‌المللی مهندسی آب و محیط زیست,https://civilica.com/doc/1498120/,https://civilica.com/doc/1498120/,live_page,0.2405,,"live_html, http_error",no_results,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S574,,رد,تجمع اعتراضی حقابه‌داران شرق اصفهان در خصوص تعرض به حریم خطوط انتقال و عدم اجرای مصوبات ۹ ماده‌ای,ضرورت طرح‌ریزی و فعالیت مشترک اطلاعاتی و عملیاتی برای افزایش امنیت مرزها,خبرگزاری کار ایران (ایلنا),https://www.ilna.ir/fa/tiny/news-1424190,https://www.ilna.ir/%D8%A8%D8%AE%D8%B4-%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C-3/1424190-%D8%B6%D8%B1%D9%88%D8%B1%D8%AA-%D8%B7%D8%B1%D8%AD-%D8%B1%DB%8C%D8%B2%DB%8C-%D9%81%D8%B9%D8%A7%D9%84%DB%8C%D8%AA-%D9%85%D8%B4%D8%AA%D8%B1%DA%A9-%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%D8%A7%D8%AA%DB%8C-%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%A7%D9%81%D8%B2%D8%A7%DB%8C%D8%B4-%D8%A7%D9%85%D9%86%DB%8C%D8%AA-%D9%85%D8%B1%D8%B2%D9%87%D8%A7,live_page,0.2604,,live_html,search_error,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S575,,رد,تأمین آب شرب پایدار بن تا بروجن حق مسلم شهروندان است و ارتباطی با مصارف صنعتی ندارد,تأمین آب پایدار و باکیفیت از حقوق مسلم شهروندان است,خبرگزاری فارس,https://www.farsnews.ir/chaharmahal-bakhtiari/news/14020830000492/,https://pishtazanealborz.ir/%D8%AA%D8%A3%D9%85%DB%8C%D9%86-%D8%A2%D8%A8-%D9%BE%D8%A7%DB%8C%D8%AF%D8%A7%D8%B1-%D9%88-%D8%A8%D8%A7%DA%A9%DB%8C%D9%81%DB%8C%D8%AA-%D8%A7%D8%B2-%D8%AD%D9%82%D9%88%D9%82-%D9%85%D8%B3%D9%84%D9%85-%D8%B4/,search_index,0.5821,,"http_error, empty",ok,لینک‌های ارائه‌شده در دسترس نبودند و منبع هم‌عنوان مستقلی پیدا نشد.
S576,,رد,ارزیابی تاب‌آوری منابع آب شرب استان چهارمحال و بختیاری در صورت قطع وابستگی به آبخوان‌های آلوده به نیترات دشت شهرکرد,,نشریه سلامت و محیط زیست (انجمن علمی بهداشت محیط ایران),https://ijhe.tums.ac.ir/article_142981.html,,,,not_registered,"http_error, http_error, http_error, http_error",no_results,DOI ارائه‌شده در Crossref ثبت نشده و منبع هم‌عنوان مستقلی پیدا نشد.
