decision,scope,title,authors,year,journal,publisher,doi,landing_url,pdf_url,discovered_in,queries,existing_source_id,existing_title_score,validation_basis
eligible,Global interbasin-transfer literature,Assessment the Economic Damage of Inter-Basin Water Transfer on Cropping Pattern and Farmers’ Income Situation in the Origin Basin  (Case Study: Water Transfer of Alamoutrood to Qazvin Plain),A. Parhizkari | H. Taghizade Ranjbari | M. Shokatfadaee | A. Mahmoodi,2016,مجله اقتصاد و توسعه کشاورزی,Ferdowsi University of Mashhad,,http://jead.um.ac.ir/index.php/jead/article/view/48794,http://jead.um.ac.ir/index.php/jead/article/view/48794,DOAJ,inter-basin water transfer,,0.75,live scholarly landing page
eligible,Global interbasin-transfer literature,Assessing the impacts of inter-basin water transfer projects on ecosystem services in water source areas: Evidence from the Hanjiang River Basin,Nana Zhuang | Min Wang | Chenyi Shi | Shen Fu | Qiyuan Yang | Conghui Ding | Yiao Ouyang | Hai Liu,2025,PLoS ONE,Public Library of Science (PLoS),10.1371/journal.pone.0323068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12124513/?tool=EBI,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12124513/?tool=EBI,Crossref | DOAJ,inter-basin water transfer,,0.7273,resolving DOI
hold,Global interbasin-transfer literature,The unintended effects of inter-basin water transfer policies on corporate research and development activities,Jichuan Sheng | Jing Xin | Weizong Tang,2022,Water Policy,IWA Publishing,10.2166/wp.2022.055,http://wpol.iwaponline.com/content/24/9/1497,http://wpol.iwaponline.com/content/24/9/1497,Crossref | DOAJ,inter-basin water transfer,,0.75,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Inter-basin water transfer green supply chain coordination with partial backlogging under random precipitation,Zhisong Chen | Huimin Wang,2021,Journal of Water and Climate Change,IWA Publishing,10.2166/wcc.2020.104,http://jwcc.iwaponline.com/content/12/1/296,http://jwcc.iwaponline.com/content/12/1/296,Crossref | DOAJ,inter-basin water transfer,,0.5,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Community perception differences regarding ecosystem goods and services in reservoir landscapes with and without inter-basin water transfer: Implications for the Sustainable Development Goals.,Lucianna Marques Rocha Ferreira | Franciely Ferreira Paiva | Maria Eduarda Santana Veríssimo | Lívia Maria Osório de Sousa | Evaldo de Lira Azevêdo | José Etham de Lucena Barbosa | Joseline Molozzi,2025,PLoS ONE,Public Library of Science (PLoS),10.1371/journal.pone.0323670,https://doi.org/10.1371/journal.pone.0323670,https://doi.org/10.1371/journal.pone.0323670,DOAJ,inter-basin water transfer,,0.625,resolving DOI
hold,Global interbasin-transfer literature,Evolutionary Modeling of Risk Transfer for Safe Operation of Inter-Basin Water Transfer Projects Using Dempster–Shafer and Bayesian Network,Tianyu Fan | Qikai Li | Bo Wang | Zhiyong Li | Xiangtian Nie,2025,Systems,MDPI AG,10.3390/systems13121064,https://www.mdpi.com/2079-8954/13/12/1064,https://www.mdpi.com/2079-8954/13/12/1064,DOAJ,inter-basin water transfer,,0.75,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Inter-basin water transfer supply chain coordination with the fairness concern under capacity constraint and random precipitation,Zhisong Chen | Huimin Wang,2019,Marine Economics and Management,Emerald Publishing,10.1108/MAEM-06-2019-0003,https://www.emerald.com/insight/content/doi/10.1108/MAEM-06-2019-0003/full/pdf?title=inter-basin-water-transfer-supply-chain-coordination-with-the-fairness-concern-under-capacity-constraint-and-random-precipitation,https://www.emerald.com/insight/content/doi/10.1108/MAEM-06-2019-0003/full/pdf?title=inter-basin-water-transfer-supply-chain-coordination-with-the-fairness-concern-under-capacity-constraint-and-random-precipitation,DOAJ,inter-basin water transfer,,0.625,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Analytical analysis for optimal operation of the recipient reservoir in inter-basin water transfer projects,ZHANG Chi | CHEN Xiaoxian | LI Yu | DING Wei,2018,Shui kexue jinzhan,Editorial Office of Advances in Water Science,10.14042/j.cnki.32.1309.2018.04.005,http://skxjz.nhri.cn/article/doi/10.14042/j.cnki.32.1309.2018.04.005,http://skxjz.nhri.cn/article/doi/10.14042/j.cnki.32.1309.2018.04.005,DOAJ,inter-basin water transfer,,0.7,resolving DOI
hold,Global interbasin-transfer literature,Correlation Analysis of Operational Safety Risks in Inter-Basin Water Transfer Projects Based on ISM-Copula,Tianyu Fan | Zhiyong Li | Qikai Li | Bo Wang | Xiangtian Nie,2026,Systems,MDPI AG,10.3390/systems14050477,https://www.mdpi.com/2079-8954/14/5/477,https://www.mdpi.com/2079-8954/14/5/477,DOAJ,inter-basin water transfer,,0.7,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Optimal operation of inter basin water transfer under the form of water sources interconnection with connected tunnel,Xiangmin Ye | Yimin Wang | Aijun Guo | Xuebin Wang | Mingzhe Zhao | Bing He | Zhehao Li | Chen Niu | Quanwei Wang,2023,Journal of Hydrology: Regional Studies,Elsevier,10.1016/j.ejrh.2023.101320,http://www.sciencedirect.com/science/article/pii/S2214581823000071,http://www.sciencedirect.com/science/article/pii/S2214581823000071,Crossref | DOAJ,inter-basin water transfer,,0.625,resolving DOI
eligible,Global interbasin-transfer literature,Assessment of the Impacts of Inter-Basin Water Transfer on the Bed River Morphology in the Origin Basin (Case study: Zab River Basin),Ezatollah Ghanavati | Dawood Talebpoor Asl | Saeed Khezry,2016,جغرافیا و توسعه,University of Sistan and Baluchestan,10.22111/gdij.2016.2721,https://gdij.usb.ac.ir/article_2721_27332512c517f3fa9541c7159e5caf88.pdf,https://gdij.usb.ac.ir/article_2721_27332512c517f3fa9541c7159e5caf88.pdf,DOAJ,inter-basin water transfer,,0.8182,resolving DOI
hold,Global interbasin-transfer literature,Unraveling the Impact of Inter-Basin Water Transfer on Soil Salinity and Sodicity and the Crop Yield Response in the Karamay Irrigation District of China,Wei Liu | Xinwei Yin | Meng Zhu | Jutao Zhang | Wen Liu | Yingqing Su | Naying Chai | Yuhui Chen,2025,Agronomy,MDPI AG,10.3390/agronomy15061386,https://www.mdpi.com/2073-4395/15/6/1386,https://www.mdpi.com/2073-4395/15/6/1386,DOAJ,inter-basin water transfer,,0.75,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Optimal Operation of a Single Unit with an Adjustable Blade in an Interbasin Water Transfer Pumping Station Based on Successive Approximation Discretization for Blade Angle,Yi Gong | Jilin Cheng | Li Che | Liang Wang | Zaiyang Chen | Yongfeng Chen,2021,Shock and Vibration,Wiley,10.1155/2021/6691799,http://dx.doi.org/10.1155/2021/6691799,http://dx.doi.org/10.1155/2021/6691799,Crossref | DOAJ,interbasin water transfer,,0.5714,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Green Operations Management of Interbasin Water Transfer Project: An Extended Framework of Joint Pricing and Inventory Management,Huimin Wang | Liuyu Xue | Jianhui Peng | Gaofeng Liu | Zhisong Chen,2022,Discrete Dynamics in Nature and Society,Wiley,10.1155/2022/5927108,http://dx.doi.org/10.1155/2022/5927108,http://dx.doi.org/10.1155/2022/5927108,Crossref | DOAJ,interbasin water transfer,,0.5205,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Ecological and environmental impacts of large-scale interbasin water transfer projects: A case study of the middle route of the south-to-north water diversion project,Ziyu Li | Xianqi Zhang | Xianliang Liu | Xiaoyan Wu | Xinyong Xu | Yuying Li | Shaobo Liu,2026,Agricultural Water Management,Elsevier,10.1016/j.agwat.2026.110524,http://www.sciencedirect.com/science/article/pii/S0378377426004051,http://www.sciencedirect.com/science/article/pii/S0378377426004051,Crossref | DOAJ,interbasin water transfer,,0.5455,resolving DOI
hold,Global interbasin-transfer literature,Freshwater fish richness baseline from the São Francisco Interbasin Water Transfer Project in the Brazilian Semiarid,Márcio J. Silva | Telton P. A. Ramos | Fernando R. Carvalho | Marcelo F. G. Brito | Robson T. C. Ramos | Ricardo S. Rosa | Jorge I. Sánchez-Botero | José L. C. Novaes | Rodrigo S. Costa | Sergio M. Q. Lima,2020,Neotropical Ichthyology,Sociedade Brasileira de Ictiologia,10.1590/1982-0224-2020-0063,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252020000400203&tlng=en,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252020000400203&tlng=en,Crossref | DOAJ,interbasin water transfer,,0.5304,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Water barons for the water barren? A survey of interbasin water transfer laws in western states,Brad B. Castleberry | Ashleigh Acevedo,2017,Texas Water Journal,Texas Water Journal,10.21423/twj.v8i1.7060,https://twj-ojs-tdl.tdl.org/twj/index.php/twj/article/view/7060,https://twj-ojs-tdl.tdl.org/twj/index.php/twj/article/view/7060,Crossref | DOAJ,interbasin water transfer,,0.6164,resolving DOI
eligible,Global interbasin-transfer literature,"An integrated modeling framework for water accounting assessment in the Lake Tana Sub-Basin, Ethiopia: Impacts of interbasin water transfer",Kirubel Mekonnen | Naga Manohar Velpuri | Mansoor Leh | Komlavi Akpoti | Afua Owusu | Smaranika Mahapatra | Primrose Tinonetsana | Lahiru Madushanka | Tharindu Perera | Hailay Zeray Tedla | Mamaru Talema | Abdulkarim Seid,2026,Journal of Hydrology: Regional Studies,Elsevier,10.1016/j.ejrh.2026.103318,http://www.sciencedirect.com/science/article/pii/S2214581826002168,http://www.sciencedirect.com/science/article/pii/S2214581826002168,Crossref | DOAJ,interbasin water transfer,,0.625,resolving DOI
hold,Global interbasin-transfer literature,Ichthyofauna on the move: fish colonization and spread through the São Francisco Interbasin Water Transfer Project,Augusto Luís Bentinho Silva | Giancarlo Arraes Galvão | Aline Alves Ferreira da Rocha | Silvia Maria Millan Gutierre | Geiza Rodrigues dos Santos | Bruno Dourado Fernandes da Costa | Luiz Cezar Machado Pereira | Patricia Avello Nicola,2023,Neotropical Ichthyology,Sociedade Brasileira de Ictiologia,10.1590/1982-0224-2022-0016,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252023000100206&lng=en&tlng=en,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252023000100206&lng=en&tlng=en,Crossref | DOAJ,interbasin water transfer,,0.5118,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Joint Pricing and Inventory Management of Interbasin Water Transfer Supply Chain,Xue Chen | Zhisong Chen,2020,Complexity,Wiley,10.1155/2020/3954084,http://dx.doi.org/10.1155/2020/3954084,http://dx.doi.org/10.1155/2020/3954084,Crossref | DOAJ,interbasin water transfer,,0.6565,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,"Interbasin water transfer, riverine connectivity, and spatial controls on fish biodiversity.",Evan H Campbell Grant | Heather J Lynch | Rachata Muneepeerakul | Muthukumarasamy Arunachalam | Ignacio Rodríguez-Iturbe | William F Fagan,2012,PLoS ONE,Public Library of Science (PLoS),10.1371/journal.pone.0034170,http://europepmc.org/articles/PMC3314595?pdf=render,http://europepmc.org/articles/PMC3314595?pdf=render,Crossref | DOAJ,interbasin water transfer,,0.5595,resolving DOI
eligible,Iran basins/projects,Comparative analysis of machine learning models for predicting river water quality: a case study of the Zayandeh Rood River,Elham Fazel Najafabadi | Paria Shojaei | Mojgan Askarizadeh,2025,Results in Engineering,Elsevier,10.1016/j.rineng.2025.106665,http://www.sciencedirect.com/science/article/pii/S259012302502732X,http://www.sciencedirect.com/science/article/pii/S259012302502732X,Crossref | DOAJ,Zayandeh | Zayandeh Rood,,0.6667,resolving DOI
eligible,Iran basins/projects,Investigation of The Trend of Agricultural Land Use Changes in the Zayandeh Rood Watershed Using Google Earth Engine Platform,Pantea Lotfi | Mozhgan Ahmadi Nadoushan,2024,محیط زیست و توسعه فرابخشی,Research Center for Environment and Sustainable Development (RCESD),10.22034/envj.2024.421306.1323,https://www.envjournal.ir/article_190141_445ad55e2bfef8aace405b85aae4ef8b.pdf,https://www.envjournal.ir/article_190141_445ad55e2bfef8aace405b85aae4ef8b.pdf,DOAJ,Zayandeh,,0.5204,resolving DOI
eligible,Iran basins/projects,The Role of Agricultural Management in Sustaining Zayandeh-rud Flow,H. Emami Heidari | H. Jafari | Gh. Karami,2015,مجله آب و خاک,Ferdowsi University of Mashhad,10.22067/jsw.v0i0.21391,http://jsw.um.ac.ir/index.php/jsw/article/view/21391,http://jsw.um.ac.ir/index.php/jsw/article/view/21391,DOAJ,Zayandeh,,0.6667,resolving DOI
eligible,Iran basins/projects,Sociology of a crisis: The social pathology of the water crisis in the Zayandeh-Rood river basin,M. Talebi | M. Zokaie | M. Fazeli | M. Jomehpoor,2019,Interdisciplinary Studies in the Humanities,Iranian Institute for Social and Cultural Studies,10.22035/isih.2020.3652.3833,http://www.isih.ir/article_321_663603bc395f93bd486707d2204ecafc.pdf,http://www.isih.ir/article_321_663603bc395f93bd486707d2204ecafc.pdf,DOAJ,Zayandeh,,0.625,resolving DOI
eligible,Iran basins/projects,Quantitative Revelation of Regime Shifts in the Social-Ecological System of Zayandeh-Rud: Application of the Ball in the Basin Metaphor,Majid Rahimi | Mehdi Ghorbani,2025,محیط شناسی,University of Tehran,10.22059/jes.2025.388271.1008570,https://jes.ut.ac.ir/article_102383_2e60c0f291ab36014bfa22efa3935c71.pdf,https://jes.ut.ac.ir/article_102383_2e60c0f291ab36014bfa22efa3935c71.pdf,DOAJ,Zayandeh,,0.6667,resolving DOI
hold,Iran basins/projects,"Identification of Different Fish Species in Koohrang, Bazoft and Zayandeh Rood River in Chahar Mahal-e-Bakhtiary Province",H. Ghorbani chafi,1998,‬‭Majallah-i ̒Ilmī-i Shīlāt-i Īrān,Iranian Fisheries Research Organization,,http://isfj.areo.ir/article_116394_en.html,http://isfj.areo.ir/article_116394_en.html,DOAJ,Koohrang | Zayandeh,,0.4545,no resolving DOI or live landing page
eligible,Iran basins/projects,Study on the qualitative changes in water of Zayandeh Rood River using fuzzy logic,Fariba Rahpou | hasan ali gayoor | zoreh ragabi,2018,جغرافیا و توسعه,University of Sistan and Baluchestan,10.22111/gdij.2018.4171,https://gdij.usb.ac.ir/article_4171_4db952bf5bce85c8a14b3e8da48fee68.pdf,https://gdij.usb.ac.ir/article_4171_4db952bf5bce85c8a14b3e8da48fee68.pdf,DOAJ,Zayandeh,,0.5839,resolving DOI
eligible,Iran basins/projects,Water ecosystem health assessment of Zayandeh Rood,Samar Mortazavi | Golnar Makhfi | Akram Karimi | Siavash Rezazadeh | Mohamad Parsi Mehr,2023,Muhandisī-i Bihdāsht-i Muḥīṭ,Alborz University of Medical Sciences,10.61186/jehe.10.3.259,http://jehe.abzums.ac.ir/article-1-970-en.pdf,http://jehe.abzums.ac.ir/article-1-970-en.pdf,Crossref | DOAJ,Zayandeh | Zayandeh Rood | Zayandeh Rud,,0.7143,resolving DOI
hold,Iran basins/projects,Growth and reproductive characteristics of Squalius Lepidus Heckel 1843 in the Dimeh spring of Zayandeh-Rud River,N. Soofiani email ; S. Asadollah; A. Abdoli; S. Ahmadi; M. Pooramini,2011,‬‭Majallah-i ̒Ilmī-i Shīlāt-i Īrān,Iranian Fisheries Research Organization,,http://isfj.areo.ir/article_109997_en.html,http://isfj.areo.ir/article_109997_en.html,DOAJ,Zayandeh,,0.6667,no resolving DOI or live landing page
eligible,Iran basins/projects,Determining Thermal Stratification of Zayandeh Roud Dam Reservoirs Using Two-Dimensional CE-QUAL-W2 Model,Negar Varshabi | Ramtin Moeini,2024,Journal of Hydraulic Structures,Shahid Chamran University of Ahvaz,10.22055/jhs.2024.19073,https://jhs.scu.ac.ir/article_19073_26aeb1082be39af6184a87b3edd10d48.pdf,https://jhs.scu.ac.ir/article_19073_26aeb1082be39af6184a87b3edd10d48.pdf,DOAJ,Zayandeh,,0.487,resolving DOI
eligible,Iran basins/projects,"The Bivalve Corbicula fluminalis (Müller, 1774): an Indicator for Heavy Metals Accumulation in the Habitat of Zayandeh-Roud River",Hourieh Movahedi | Mehrdad Fattollahi | Esmaeil Pir Ali | Rasoul Zamani Ahmad Mahmoudi,2016,بوم‌شناسی آبزیان,University of Hormozgan,,http://jae.hormozgan.ac.ir/article-1-288-en.pdf,http://jae.hormozgan.ac.ir/article-1-288-en.pdf,DOAJ,Zayandeh,,0.5164,live scholarly landing page
eligible,Iran basins/projects,An Assessment of Drought Severity Using Drought Indices based on Potential Evapotranspiration-Based and the TOPSIS Multi-Criteria Decision-Making Model at Selected Stations within the Zayandeh-Rud River Basin, | Fatemeh Zolfaghari | Saeid Eslamian |  | Ali Reza Gohari |  | Mohammad Mahdi Matinzadeh |  | Sara Azadi | ,2025,علوم آب و خاک,Isfahan University of Technology,10.47176/jwss.29.2.64541,http://jstnar.iut.ac.ir/article-1-4443-en.pdf,http://jstnar.iut.ac.ir/article-1-4443-en.pdf,Crossref | DOAJ,Zayandeh | Zayandeh Rud,,0.625,resolving DOI
